"id","metro","tempo","loja","preco"
"219",356.457479882955,16.4,6,40.6
"221",1502.83376005852,16.4,2,24.7
"222",264.561814191661,16.4,5,41.2
"223",295.953730797367,16.5,6,49.3
"225",2092.18269934162,16.5,3,23.2
"227",295.986832479883,16.6,6,51
"228",3732.63990490124,16.7,0,16.7
"230",336.627926115582,16.9,8,42.3
"231",3718.53237015362,16.9,0,18.3
"232",3718.53237015362,16.9,0,20.7
"233",882.17776152158,16.9,4,37.7
"234",884.601316752012,16.9,4,40.3
"235",3732.63990490124,17,0,18.8
"236",1357.98920994879,17,4,30.7
"237",884.601316752012,17.1,4,40
"238",1989.64612289685,17.2,3,27.7
"239",173.297457937089,17.2,8,47.1
"240",357.140087783467,17.2,5,40.1
"241",406.120519385516,17.3,1,43.9
"242",2067.87856620337,17.3,4,29.5
"243",910.529809802487,17.4,0,25.5
"244",5932.7185442575,17.4,1,11.2
"245",910.529809802487,17.5,0,25.3
"246",882.17776152158,17.5,4,38.2
"247",361.809345281639,17.5,5,24.5
"248",1651.12015362107,17.6,2,31.1
"249",766.023500365765,17.6,0,23
"250",320.822512801756,17.7,1,37.4
"251",766.023500365765,17.7,0,28.8
"252",412.986375274323,17.7,8,26.5
"253",1630.55961960497,17.8,3,23.7
"254",1630.55961960497,17.9,3,22.1
"255",1293.74268471105,18,1,26.5
"256",341.43535113387,18,8,39.5
"257",1293.74268471105,18,1,26.6
"258",5766.4164228237,18,1,15
"259",1630.55961960497,18.1,3,20.9
"260",766.023500365765,18.1,0,29.7
"261",412.986375274323,18.2,8,31.6
"262",1993.04133138259,18.2,3,21.8
"263",320.822512801756,18.2,1,43.1
"265",2446.01408193124,18.4,3,25.7
"266",1989.524506218,18.5,3,28.1
"267",357.506949524506,18.8,7,40.6
"268",922.855705925384,18.9,0,20.8
"269",922.855705925384,19,0,22.3
"270",421.636430138991,19.1,5,34
"271",509.764081931236,19.2,4,47
"272",563.643379663497,19.2,3,39.6
"273",350.871342355523,19.2,8,48.1
"274",421.636430138991,19.2,5,32.9
"275",280.35360277981,19.5,9,42.2
"276",585.778255303585,19.8,5,37.5
"277",1486.90837600585,20,3,29.4
"278",1998.10534016094,20.2,3,22.8
"279",262.986923920995,20.3,6,46.7
"280",2258.27084857352,20.4,4,23.8
"281",1998.10534016094,20.5,3,25.6
"282",2258.27084857352,20.6,4,21.8
"283",674.758686905633,20.6,2,46.4
"284",1998.10534016094,20.9,3,25.7
"285",1998.10534016094,21.2,3,27.7
"286",468.680230431602,21.2,4,42.5
"287",491.767648134601,21.3,4,42.2
"288",424.252286027798,21.7,9,42
"289",468.680230431602,21.7,4,44.2
"290",964.764996342356,21.7,0,23.1
"291",1058.87710314557,21.7,0,23.8
"292",347.071598390636,22.2,10,44
"293",647.317757863936,22.8,2,36.6
"294",3610.04480614484,23,0,25.3
"295",119.782827359181,23,6,37.2
"296",4140.16733723482,24,0,14.4
"297",4211.54809802487,24.2,0,13.4
"298",2475.66934893928,25.3,3,17.7
"299",1448.17300658376,25.3,3,30.6
"300",4132.85479151426,25.6,0,15.6
"301",4132.85479151426,25.9,0,22.1
"302",306.80989392831,26.4,6,38.1
"303",441.439374542794,26.6,5,37.5
"304",441.439374542794,26.8,5,35.5
"305",4068.46196049744,26.9,0,15.5
"306",4035.08138258961,27.1,1,17.4
"307",308.706656912948,27.3,6,36.5
"308",360.293800292612,27.5,7,41
"309",471.024323335772,27.6,5,37.4
"310",340.731711777615,28,6,40.8
"311",301.833760058522,28.2,8,43.4
"312",564.596196049744,28.4,3,34.6
"313",180.261338697879,28.6,6,42.5
"314",462.796634967081,29.1,4,40.3
"315",1360.5230431602,29.3,2,27
"316",484.434070958303,29.3,8,40.2
"318",703.551024140454,29.6,7,25
"319",489.691843452816,29.6,8,37.5
"320",926.61027798098,30,5,22.8
"321",656.815746159473,30.1,3,55.3
"322",431.761613021214,30.2,3,36.5
"324",1156.48317483541,30.3,0,19.1
"325",424.490673006584,30.4,6,36.2
"326",1587.04736649598,30.4,2,25.9
"327",131.527340892465,30.6,8,53.3
"328",394.213057790783,30.6,10,48.5
"330",345.460497439649,30.8,6,36.8
"332",148.081565471836,30.9,9,39.7
"335",549.433430870519,31.3,5,30.9
"336",541.789136795903,31.4,2,34.1
"338",379.432699341624,31.5,4,32.5
"339",5040.26883686906,31.5,1,17.4
"340",236.088149231895,31.5,9,36.3
"342",1061.29480614484,31.7,0,13.7
"344",1048.21598390636,31.9,0,16.1
"345",77.6141367959034,32,10,37.9
"347",1315.45263350402,32.1,3,27
"348",100.535387710315,32.3,10,48
"349",242.374634235552,32.4,8,40.2
"350",388.207937088515,32.5,8,36.3
"351",451.405449890271,32.6,7,40.6
"353",358.856894659839,32.7,6,30.5
"354",186.695775420629,32.8,8,48.2
"355",345.492136064375,32.8,9,38.6
"356",79.8301207022677,32.9,10,47.1
"357",165.578456474031,33,9,42
"358",111.307790782736,33.2,10,46.1
"359",179.78895391368,33.3,7,39.4
"360",170.966166788588,33.4,6,42.2
"362",515.074433065106,33.5,8,46.6
"363",339.474670811997,33.6,8,41.9
"364",247.70437088515,33.6,0,42.9
"365",144.11594732992,33.9,7,41.5
"366",144.11594732992,34,7,39.1
"367",468.898226042429,34.4,6,34.1
"368",115.882040965618,34.4,8,48.2
"369",570.11073518654,34.5,7,40.3
"370",297.130486466715,34.5,6,46
"372",2821.11375274323,34.6,0,41.2
"373",441.439374542794,34.7,5,41.1
"374",370.531638624726,34.8,1,41.4
"375",173.773957571324,34.8,8,44.3
"376",160.597476225311,34.8,8,40.9
"377",164.094550109729,34.9,8,39.7
"379",563.801664228237,35.3,8,42.3
"380",561.575896122897,35.3,7,33.1
"381",291.26664228237,35.4,9,78
"382",585.898957571324,35.5,3,40.8
"383",529.63450987564,35.7,2,50.5
"384",156.118416239941,35.8,7,48.5
"385",585.898957571324,35.9,3,61.5
"386",563.643379663497,35.9,3,36.8
"387",475.001554498903,36.1,5,34.7
"388",446.981803218727,36.6,8,38.3
"389",446.981803218727,36.6,8,38.1
"390",840.010698610095,37.1,1,31.9
"391",170.546909290417,37.2,9,78.3
"392",537.571049743965,37.3,8,37.4
"393",448.376554498903,37.7,0,37
"394",540.352231163131,37.8,1,39.7
"395",446.756309436723,37.9,1,34.2
"396",422.261155815655,38,0,35.7
"397",505.154626920263,38.2,2,29.8
"398",587.690654718361,38.3,3,31.5
"399",402.076170446233,38.3,0,38.4
"400",198.274414776884,38.5,7,41
"401",608.141550841258,38.5,3,34.2
"402",735.817209217264,38.6,4,62.9
"404",439.555321872714,39.6,4,38.8
"405",304.835314557425,39.7,9,32.4
"406",564.844001463058,39.8,2,39.6
"407",113.151883686906,40.1,8,44.3
"408",153.25429773226,40.9,5,41
"409",111.889081931236,40.9,8,67.7
"410",114.293343087052,41.3,6,60.7
"411",367.484180687637,41.3,4,35.1
"412",257.136978785662,41.4,8,63.3
"413",405.8174835406,42.7,6,35.3
"414",52.6604334308705,43.8,7,42.7
